Domain,Method,Path,Controller/action,Required middleware,Required capability,Required headers,row_version / mutation contract,Idempotency-Key,Feature flag/gate,Day-1 relevance,customer-web status,staff-web status,Gap severity,Required work,Source paths
Privacy/data export/audit,GET,/api/v1/me/data-export,PrivacyRequestController@export,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_DATA_EXPORT,NO,GATED/PARTIAL,NOT_APPLICABLE,MEDIUM,Complete gated data export UI.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Privacy/data export/audit,GET,/api/v1/me/privacy-requests,PrivacyRequestController@index,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_PRIVACY_TOOLS,NO,GATED/PARTIAL,NOT_APPLICABLE,MEDIUM,Complete gated privacy request list.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Privacy/data export/audit,POST,/api/v1/me/privacy-requests,PrivacyRequestController@store,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,Required,NEXT_PUBLIC_FEATURE_PRIVACY_TOOLS,NO,GATED/PARTIAL,NOT_APPLICABLE,MEDIUM,Complete idempotent privacy request create UI.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Reservation create/list/detail/cancel/reschedule,GET,/api/v1/reservations,ReservationSelfServiceController@index,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,none,YES,DONE,NOT_APPLICABLE,LOW,Run live list proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Reservation create/list/detail/cancel/reschedule,POST,/api/v1/reservations/{id}/cancel,ReservationSelfServiceController@cancel,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,contract-visible not day1 promised,NO core,PARTIAL,NOT_APPLICABLE,MEDIUM,Promote only after live stale-write proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Reservation create/list/detail/cancel/reschedule,POST,/api/v1/reservations/{id}/reschedule,ReservationSelfServiceController@reschedule,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,contract-visible not day1 promised,NO core,PARTIAL,NOT_APPLICABLE,MEDIUM,Promote only after live stale-write proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer preorder,GET,/api/v1/reservations/{id}/preorder,CustomerReservationPreorderController@show,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_PREORDER,NO,GATED/DONE,NOT_APPLICABLE,LOW,Gated show/empty state covered; run live UAT before enabling rollout.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts; customer-web/src/features/preorder/api.test.ts; customer-web/src/features/preorder/preorder-panel.test.tsx
Customer preorder,POST,/api/v1/reservations/{id}/preorder/preview,CustomerReservationPreorderController@preview,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No/Recommended,NEXT_PUBLIC_FEATURE_PREORDER,NO,GATED/DONE,NOT_APPLICABLE,LOW,Gated preview totals and validation covered; run live UAT before enabling rollout.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts; customer-web/src/features/preorder/api.test.ts; customer-web/src/features/preorder/preorder-panel.test.tsx
Customer preorder,PUT,/api/v1/reservations/{id}/preorder,CustomerReservationPreorderController@replace,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required; pre_order_row_version conditional,Required,NEXT_PUBLIC_FEATURE_PREORDER,NO,GATED/DONE,NOT_APPLICABLE,LOW,Replace sends reservation/preorder row versions and idempotency; run live UAT before rollout.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts; customer-web/src/features/preorder/api.test.ts; customer-web/src/features/preorder/preorder-panel.test.tsx
Customer preorder,DELETE,/api/v1/reservations/{id}/preorder,CustomerReservationPreorderController@clear,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,query.row_version required; pre_order_row_version conditional,Required,NEXT_PUBLIC_FEATURE_PREORDER,NO,GATED/DONE,NOT_APPLICABLE,LOW,Clear sends reservation/preorder row versions and idempotency; run live UAT before rollout.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts; customer-web/src/features/preorder/api.test.ts; customer-web/src/features/preorder/preorder-panel.test.tsx
Customer deposit preview/payment sessions,GET,/api/v1/reservations/{id}/deposit-preview,CustomerReservationDepositController@show,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,live-conditional,NO payment,PARTIAL,PARTIAL,MEDIUM,Keep truthful preview; do not mark self-pay launch-ready.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,POST,/api/v1/reservations/{id}/deposit/acknowledge,CustomerReservationDepositController@acknowledge,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,live-conditional,NO payment,PARTIAL,PARTIAL,HIGH,Provider/session proof and stale-write test.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,POST,/api/v1/reservations/{id}/deposit/intent,CustomerReservationDepositController@submitIntent,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,live-conditional,NO payment,PARTIAL,PARTIAL,HIGH,Provider/session proof and stale-write test.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,POST,/api/v1/reservations/{id}/deposit/intent/revoke,CustomerReservationDepositController@revokeIntent,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,live-conditional,NO payment,PARTIAL,PARTIAL,HIGH,Provider/session proof and stale-write test.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,POST,/api/v1/reservations/{reservation_id}/deposit/payment-sessions,ReservationDepositPaymentController@store,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,provider posture,NO,PARTIAL,PARTIAL,HIGH,Add guarded provider posture UI/live proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,GET,/api/v1/reservations/{reservation_id}/deposit/payment-sessions/{session_id},ReservationDepositPaymentController@show,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,provider posture,NO,PARTIAL,PARTIAL,MEDIUM,Add session status UI/live proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,POST,/api/v1/reservations/{reservation_id}/deposit/payment-sessions/{session_id}/refresh,ReservationDepositPaymentController@refresh,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,provider posture,NO,PARTIAL,PARTIAL,HIGH,Add refresh conflict/status proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Customer deposit preview/payment sessions,POST,/api/v1/reservations/{reservation_id}/deposit/payment-sessions/{session_id}/confirm,ReservationDepositPaymentController@confirm,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,provider posture,NO,PARTIAL,PARTIAL,HIGH,Add confirm and webhook/provider proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Vouchers/promotions + loyalty,GET,/api/v1/reservations/{id}/benefits-preview,BenefitsController@reservationBenefitsPreview,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,PARTIAL,MEDIUM,Complete gated benefits preview.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Vouchers/promotions + loyalty,POST,/api/v1/reservations/{id}/voucher/apply,ReservationBenefitsActionController@applyVoucher,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,PARTIAL,HIGH,Implement/apply row_version refresh and conflict UX.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Vouchers/promotions + loyalty,POST,/api/v1/reservations/{id}/voucher/remove,ReservationBenefitsActionController@removeVoucher,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,PARTIAL,HIGH,Implement/remove row_version refresh and conflict UX.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Vouchers/promotions + loyalty,POST,/api/v1/reservations/{id}/loyalty/redeem,ReservationLoyaltyController@redeem,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,PARTIAL,HIGH,Implement/redeem row_version refresh and conflict UX.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Vouchers/promotions + loyalty,POST,/api/v1/reservations/{id}/loyalty/redeem/release,ReservationLoyaltyController@release,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_ACCOUNT_BENEFITS,NO,GATED/PARTIAL,PARTIAL,HIGH,Implement/release row_version refresh and conflict UX.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,GET,/api/v1/reservations/{reservation_id}/bill,ReservationBillController@show,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,live-conditional,NO customer self-pay,PARTIAL,DONE/PARTIAL,MEDIUM,Read-only bill visibility proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,GET,/api/v1/reservations/{reservation_id}/active-order,ReservationBillController@activeOrder,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,live-conditional,NO customer self-pay,PARTIAL,DONE/PARTIAL,MEDIUM,Read-only active order proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,GET,/api/v1/reservations/{reservation_id}/bill-preview,ReservationBillController@billPreview,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,live-conditional,NO customer self-pay,PARTIAL,DONE/PARTIAL,MEDIUM,Read-only bill preview proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,POST,/api/v1/reservations/{reservation_id}/bill/payment-sessions,ReservationBillPaymentController@store,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,customer.bill_self_payment false prod-like,NO,PARTIAL/GATED,DONE/PARTIAL,HIGH,Keep disabled until provider/staff settlement evidence.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,GET,/api/v1/reservations/{reservation_id}/bill/payment-sessions/{session_id},ReservationBillPaymentController@show,CustomerOrStaffMiddleware,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,customer.bill_self_payment false prod-like,NO,PARTIAL/GATED,DONE/PARTIAL,MEDIUM,Show only behind provider posture.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,POST,/api/v1/reservations/{reservation_id}/bill/payment-sessions/{session_id}/refresh,ReservationBillPaymentController@refresh,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,customer.bill_self_payment false prod-like,NO,PARTIAL/GATED,DONE/PARTIAL,HIGH,Show only behind provider posture.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Bill/active order/self-pay,POST,/api/v1/reservations/{reservation_id}/bill/payment-sessions/{session_id}/confirm,ReservationBillPaymentController@confirm,CustomerOrStaffMiddleware + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,customer.bill_self_payment false prod-like,NO,PARTIAL/GATED,DONE/PARTIAL,HIGH,Show only behind provider posture.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,GET,/api/v1/waiting-list,CustomerWaitlistController@index,require.redis,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,MEDIUM,Complete gated customer waitlist list.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,POST,/api/v1/waiting-list,CustomerWaitlistController@store,require.redis + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,Required,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,HIGH,Complete create with token and idempotency.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,GET,/api/v1/waiting-list/{id},CustomerWaitlistController@show,require.redis,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,MEDIUM,Complete detail owner state.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,POST,/api/v1/waiting-list/{id}/accept,CustomerWaitlistController@accept,require.redis + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,HIGH,Complete owner accept flow.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,POST,/api/v1/waiting-list/{id}/confirm-arrival,CustomerWaitlistController@confirmArrival,require.redis + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,HIGH,Complete confirm arrival flow.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,POST,/api/v1/waiting-list/{id}/decline,CustomerWaitlistController@decline,require.redis + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,HIGH,Complete decline flow; staff automation still manual/gated.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Waiting list customer + staff coordination,POST,/api/v1/waiting-list/{id}/cancel,CustomerWaitlistController@cancel,require.redis + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version required,Required,NEXT_PUBLIC_FEATURE_WAITING_LIST,NO customer,GATED/PARTIAL,PARTIAL,HIGH,Complete cancel flow.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Table availability,GET,/api/v1/tables/available,TableAvailabilityController@available,require.redis + redis throttle,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_TABLE_AVAILABILITY default true,YES,DONE,NOT_APPLICABLE,LOW,Run live availability proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Table holds,POST,/api/v1/table-holds,TableHoldController@store,require.redis + throttle + hold.ratelimit + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,Required,NEXT_PUBLIC_FEATURE_TABLE_HOLDS default true,YES,DONE,NOT_APPLICABLE,LOW,Run live hold proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Table holds,GET,/api/v1/table-holds/{hold_id},TableHoldController@show,require.redis + throttle,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,NEXT_PUBLIC_FEATURE_TABLE_HOLDS default true,YES,DONE/PARTIAL,NOT_APPLICABLE,LOW,Use detail as needed for reload recovery.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Table holds,DELETE,/api/v1/table-holds/{hold_id},TableHoldController@cancel,require.redis + throttle + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,query.row_version optional,Required,NEXT_PUBLIC_FEATURE_TABLE_HOLDS default true,YES,DONE,NOT_APPLICABLE,LOW,Run cancel stale row_version proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Table holds,PATCH,/api/v1/table-holds/{hold_id}/refresh,TableHoldController@refresh,require.redis + throttle + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,body.row_version optional,Required,NEXT_PUBLIC_FEATURE_TABLE_HOLDS default true,YES,DONE,NOT_APPLICABLE,LOW,Run refresh stale row_version proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Reservation create/list/detail/cancel/reschedule,POST,/api/v1/reservations,ReservationController@store,CustomerOrStaffMiddleware + throttle + idempotency,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,Required,none,YES,DONE,PARTIAL,LOW,Run live create proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Reservation create/list/detail/cancel/reschedule,GET,/api/v1/reservations/{id},ReservationController@show,CustomerOrStaffMiddleware + throttle,N/A customer unless staff access via CustomerOrStaff,X-Customer-Token and/or X-Session-Id per contract,No,No,none,YES,DONE,PARTIAL,LOW,Run live detail proof.,routes/api/customer_self_service.php; customer-web/src/lib/config/support-matrix.ts; customer-web/src/lib/api/sdk-client.ts
Reservation create/list/detail/cancel/reschedule,PATCH,/api/v1/reservations/{id}/status,ReservationController@updateStatus,require.redis + StaffApiKeyMiddleware + redis throttle unless route-level exception,reservation.manage,X-Staff-Key; Idempotency-Key for mutations,body.row_version optional/required by payload,Required,none,YES staff,NOT_APPLICABLE,PARTIAL,HIGH,Verify status UI and stale-write behavior.,routes/api/staff_pos.php; config/staff_capabilities.php; staff-web/src/shared/api/http.ts; staff-web/src/shared/api/staff-api.ts
